Task Name,Category,Action,Priority,Estimated Time (mins),Actual Time (mins),Completion Percentage,Due Date,Time Spent (mins),Status,Quality
Sprint planning,Work,Review code changes,Medium,240,162,0.66,2023-04-05 18:00:00,190,Under,Fair
Attending training session,Work,Learn new programming language,Medium,226,300,0.95,2023-03-29 11:00:00,210,Over,Good
Attending training session,Work,Network with peers,Low,30,25,0.69,2023-03-29 11:00:00,250,Under,Fair
Code review,Work,Refactor existing code,High,159,127,0.92,2023-04-01 12:00:00,210,Under,Good
Sprint planning,Learning,Discuss project progress,High,93,98,0.94,2023-03-30 15:00:00,110,Over,Good
Code refactoring,Work,Plan upcoming sprint,Medium,151,140,0.73,2023-03-28 14:00:00,55,Under,Fair
Attend team meeting,Work,Review code changes,High,175,228,0.89,2023-03-30 15:00:00,350,Over,Good
Learning new technology,Learning,Discuss project progress,Low,192,226,0.77,2023-03-30 15:00:00,210,Over,Good
Complete coding challenge,Learning,Code collaboratively,Low,88,101,0.74,2023-03-31 16:00:00,110,Over,Fair
Code review,Work,Plan upcoming sprint,Low,58,79,0.94,2023-03-28 14:00:00,170,Over,Good
Code review,Learning,Refactor existing code,Low,219,120,0.77,2023-03-28 14:00:00,320,Under,Good
Complete coding challenge,Learning,Plan upcoming sprint,High,132,183,0.91,2023-03-29 11:00:00,55,Over,Good
Sprint planning,Learning,Learn new skills,Low,226,232,0.75,2023-04-02 10:00:00,250,Over,Good
Code review,Work,Submit a functioning solution,High,154,78,0.71,2023-03-29 11:00:00,250,Under,Fair
Attending conference,Learning,Write technical document,High,57,43,1.0,2023-03-30 14:00:00,350,Under,Good
Attending conference,Learning,Submit a functioning solution,Medium,199,213,0.71,2023-04-01 12:00:00,130,Over,Fair
Learning new technology,Learning,Discuss project progress,Low,59,79,0.88,2023-04-04 11:00:00,250,Over,Good
Pair programming,Learning,Learn new programming language,High,64,61,0.6,2023-03-31 16:00:00,110,Under,Fair
Learning new technology,Work,Code collaboratively,Medium,212,207,0.85,2023-03-29 11:00:00,80,Under,Good
Attend team meeting,Work,Plan upcoming sprint,Low,177,91,0.96,2023-03-29 11:00:00,250,Under,Good
Code review,Learning,Plan upcoming sprint,Low,224,323,0.9,2023-04-01 12:00:00,110,Over,Good
Attending training session,Work,Learn new skills,Low,218,259,0.83,2023-03-31 16:00:00,220,Over,Good
Code review,Learning,Learn new programming language,Medium,180,143,0.78,2023-04-01 12:00:00,110,Under,Good
Sprint planning,Work,Refactor existing code,Low,167,104,0.72,2023-03-28 10:00:00,220,Under,Fair
Attending training session,Work,Code collaboratively,Low,177,235,0.71,2023-03-28 10:00:00,270,Over,Fair
Complete coding challenge,Learning,Code collaboratively,Medium,59,80,0.91,2023-04-04 11:00:00,55,Over,Good
Sprint planning,Learning,Learn new skills,Medium,68,97,0.88,2023-04-02 10:00:00,55,Over,Good
Pair programming,Work,Review code changes,Low,112,130,0.73,2023-04-02 10:00:00,100,Over,Fair
Code refactoring,Learning,Network with peers,High,228,137,0.67,2023-04-05 18:00:00,250,Under,Fair
Complete coding challenge,Learning,Refactor existing code,High,103,118,0.83,2023-03-29 11:00:00,220,Over,Good
Attending training session,Work,Code collaboratively,Medium,108,60,0.94,2023-03-30 14:00:00,270,Under,Good
Pair programming,Work,Fix errors in code,Low,43,58,0.71,2023-03-30 15:00:00,110,Over,Fair
Pair programming,Work,Code collaboratively,Low,101,65,0.71,2023-04-04 11:00:00,190,Under,Fair
Learning new technology,Learning,Learn new programming language,High,185,237,0.81,2023-04-02 10:00:00,270,Over,Good
Sprint planning,Work,Discuss project progress,Low,210,249,0.74,2023-04-05 18:00:00,210,Over,Fair
Attend team meeting,Work,Review code changes,Low,224,117,0.69,2023-03-28 14:00:00,350,Under,Fair
Writing technical documentation,Work,Submit a functioning solution,Low,174,210,0.9,2023-03-30 15:00:00,110,Over,Good
Code review,Learning,Review code changes,Medium,193,251,0.79,2023-03-30 14:00:00,350,Over,Good
Learning new technology,Work,Write technical document,Low,162,150,0.88,2023-03-31 16:00:00,130,Under,Good
Code review,Learning,Code collaboratively,Low,127,142,0.66,2023-03-29 11:00:00,170,Over,Fair
Debugging,Learning,Learn new programming language,Low,163,93,0.85,2023-04-04 11:00:00,320,Under,Good
Code refactoring,Work,Learn new programming language,Medium,121,148,0.65,2023-04-02 10:00:00,110,Over,Fair
Pair programming,Learning,Write technical document,Medium,216,183,0.8,2023-03-30 15:00:00,420,Under,Good
Attending training session,Work,Code collaboratively,Low,71,63,0.9,2023-03-28 10:00:00,250,Under,Good
Pair programming,Learning,Review code changes,Medium,207,306,0.82,2023-03-29 11:00:00,170,Over,Good
Attending conference,Work,Fix errors in code,High,173,100,0.75,2023-03-31 16:00:00,270,Under,Good
Code refactoring,Work,Code collaboratively,Medium,131,78,0.98,2023-03-30 15:00:00,270,Under,Good
Attending conference,Work,Code collaboratively,Medium,240,247,0.63,2023-04-02 10:00:00,210,Over,Fair
Pair programming,Work,Refactor existing code,High,114,164,0.72,2023-03-29 17:00:00,190,Over,Fair
Learning new technology,Learning,Learn new skills,Medium,136,129,0.79,2023-03-29 17:00:00,250,Under,Good
Complete coding challenge,Learning,Code collaboratively,High,159,206,0.96,2023-03-30 15:00:00,100,Over,Good
Learning new technology,Learning,Refactor existing code,Low,148,145,0.73,2023-04-05 18:00:00,350,Under,Fair
Attend team meeting,Learning,Discuss project progress,Medium,70,49,0.7,2023-03-30 14:00:00,320,Under,Fair
Complete coding challenge,Work,Learn new programming language,High,153,84,0.89,2023-03-30 14:00:00,130,Under,Good
Code refactoring,Work,Write technical document,High,73,44,0.93,2023-03-29 11:00:00,320,Under,Good
Learning new technology,Learning,Learn new skills,Low,201,224,0.92,2023-04-02 10:00:00,170,Over,Good
Attend team meeting,Learning,Network with peers,Medium,111,130,0.92,2023-04-05 18:00:00,220,Over,Good
Writing technical documentation,Work,Learn new programming language,Low,69,53,0.95,2023-03-30 14:00:00,190,Under,Good
Complete coding challenge,Work,Refactor existing code,Medium,61,36,0.71,2023-03-28 14:00:00,320,Under,Fair
Writing technical documentation,Work,Fix errors in code,Low,123,140,0.89,2023-04-02 10:00:00,420,Over,Good
Attending training session,Learning,Code collaboratively,Low,218,127,0.81,2023-04-02 10:00:00,420,Under,Good
Writing technical documentation,Learning,Refactor existing code,High,63,84,0.63,2023-04-01 12:00:00,350,Over,Fair
Code review,Work,Review code changes,Medium,118,141,0.89,2023-03-30 14:00:00,130,Over,Good
Code review,Work,Network with peers,High,194,248,0.72,2023-03-29 11:00:00,350,Over,Fair
Attending conference,Work,Plan upcoming sprint,High,112,156,0.65,2023-04-01 12:00:00,190,Over,Fair
Code refactoring,Work,Network with peers,Low,147,215,0.72,2023-04-05 18:00:00,170,Over,Fair
Learning new technology,Learning,Write technical document,Medium,190,281,0.94,2023-03-30 14:00:00,420,Over,Good
Learning new technology,Work,Learn new programming language,Low,171,196,0.63,2023-04-01 12:00:00,170,Over,Fair
Code refactoring,Work,Plan upcoming sprint,Medium,217,229,0.94,2023-04-01 12:00:00,190,Over,Good
Debugging,Learning,Learn new skills,High,175,148,0.97,2023-03-29 17:00:00,220,Under,Good
Debugging,Work,Refactor existing code,Medium,201,174,0.68,2023-03-29 17:00:00,55,Under,Fair
Learning new technology,Work,Learn new programming language,Low,54,68,0.79,2023-04-04 11:00:00,220,Over,Good
Sprint planning,Work,Discuss project progress,Medium,120,169,0.73,2023-03-30 15:00:00,170,Over,Fair
Code refactoring,Work,Learn new programming language,High,196,213,0.98,2023-04-04 11:00:00,110,Over,Good
Learning new technology,Work,Write technical document,High,85,73,0.95,2023-03-29 17:00:00,110,Under,Good
Debugging,Learning,Write technical document,High,173,147,0.75,2023-04-04 11:00:00,170,Under,Good
Code review,Learning,Discuss project progress,High,211,159,0.74,2023-03-30 14:00:00,170,Under,Fair
Complete coding challenge,Learning,Plan upcoming sprint,High,109,132,0.95,2023-03-30 14:00:00,55,Over,Good
Writing technical documentation,Work,Fix errors in code,Low,213,165,0.83,2023-03-29 11:00:00,220,Under,Good
Learning new technology,Work,Write technical document,Low,105,77,0.69,2023-03-29 11:00:00,250,Under,Fair
Code review,Work,Learn new programming language,Low,85,124,0.73,2023-03-30 15:00:00,270,Over,Fair
Debugging,Work,Write technical document,Low,212,193,0.95,2023-03-30 14:00:00,220,Under,Good
Pair programming,Learning,Review code changes,High,118,138,0.7,2023-03-28 14:00:00,130,Over,Fair
Code refactoring,Learning,Network with peers,Low,197,184,0.63,2023-03-29 11:00:00,270,Under,Fair
Code review,Learning,Learn new programming language,Low,58,66,0.83,2023-03-30 14:00:00,170,Over,Good
Attending conference,Learning,Review code changes,High,193,165,1.0,2023-03-29 17:00:00,250,Under,Good
Learning new technology,Work,Learn new programming language,Medium,34,32,0.77,2023-04-05 18:00:00,80,Under,Good
Attend team meeting,Work,Refactor existing code,Medium,89,99,0.77,2023-03-28 14:00:00,130,Over,Good
Pair programming,Work,Submit a functioning solution,Medium,139,81,1.0,2023-03-30 15:00:00,110,Under,Good
Debugging,Work,Network with peers,High,168,200,0.93,2023-04-02 10:00:00,110,Over,Good
Pair programming,Learning,Discuss project progress,Medium,130,177,0.75,2023-03-28 10:00:00,80,Over,Good
Learning new technology,Work,Network with peers,Medium,171,188,0.67,2023-03-28 10:00:00,100,Over,Fair
Code review,Work,Learn new programming language,Low,151,201,0.87,2023-04-05 18:00:00,220,Over,Good
Pair programming,Learning,Plan upcoming sprint,High,226,303,0.61,2023-03-30 15:00:00,210,Over,Fair
Writing technical documentation,Learning,Code collaboratively,Low,195,287,0.77,2023-04-05 18:00:00,55,Over,Good
Attend team meeting,Learning,Learn new skills,Low,82,45,0.62,2023-04-01 12:00:00,210,Under,Fair
Pair programming,Work,Write technical document,High,59,69,0.67,2023-04-05 18:00:00,55,Over,Fair
Debugging,Work,Code collaboratively,High,120,124,0.89,2023-03-30 14:00:00,320,Over,Good
Code refactoring,Learning,Discuss project progress,High,181,173,0.97,2023-03-29 11:00:00,220,Under,Good
Code review,Work,Code collaboratively,Low,179,179,0.6,2023-03-30 14:00:00,210,Accurate,Fair
Debugging,Learning,Code collaboratively,Low,182,112,0.93,2023-03-30 14:00:00,80,Under,Good
Complete coding challenge,Learning,Write technical document,High,211,154,0.66,2023-03-31 16:00:00,100,Under,Fair
Code refactoring,Work,Review code changes,High,90,114,0.95,2023-03-29 11:00:00,250,Over,Good
Attending conference,Work,Fix errors in code,Medium,208,213,0.63,2023-03-30 15:00:00,350,Over,Fair
Code review,Learning,Code collaboratively,Medium,203,133,0.66,2023-04-04 11:00:00,190,Under,Fair
Attending conference,Learning,Code collaboratively,Medium,39,53,0.86,2023-04-01 12:00:00,420,Over,Good
Complete coding challenge,Work,Discuss project progress,High,136,119,0.88,2023-03-29 11:00:00,320,Under,Good
Writing technical documentation,Learning,Refactor existing code,Low,178,104,0.85,2023-04-02 10:00:00,420,Under,Good
Writing technical documentation,Work,Learn new programming language,Medium,235,283,0.91,2023-04-01 12:00:00,250,Over,Good
Code review,Work,Write technical document,High,155,205,0.89,2023-04-01 12:00:00,220,Over,Good
Attend team meeting,Learning,Submit a functioning solution,Low,107,115,0.9,2023-04-05 18:00:00,130,Over,Good
Code review,Work,Learn new programming language,Low,93,62,0.99,2023-03-29 11:00:00,80,Under,Good
Complete coding challenge,Learning,Learn new skills,Medium,150,126,0.92,2023-03-30 14:00:00,190,Under,Good
Complete coding challenge,Work,Network with peers,Medium,60,38,0.6,2023-03-29 17:00:00,220,Under,Fair
Attending conference,Learning,Network with peers,Medium,59,69,0.79,2023-04-04 11:00:00,110,Over,Good
Writing technical documentation,Work,Learn new programming language,Medium,205,167,0.61,2023-03-29 17:00:00,110,Under,Fair
Pair programming,Learning,Discuss project progress,High,222,301,0.65,2023-04-05 18:00:00,55,Over,Fair
Learning new technology,Work,Network with peers,Low,183,156,0.69,2023-03-28 10:00:00,420,Under,Fair
Complete coding challenge,Learning,Network with peers,High,70,88,0.69,2023-03-31 16:00:00,80,Over,Fair
Code refactoring,Work,Learn new skills,Medium,138,175,0.83,2023-03-29 17:00:00,220,Over,Good
Debugging,Learning,Submit a functioning solution,High,33,46,0.69,2023-03-30 14:00:00,270,Over,Fair
Attend team meeting,Work,Code collaboratively,Low,36,32,0.82,2023-04-02 10:00:00,80,Under,Good
Attending conference,Learning,Review code changes,Medium,166,157,0.99,2023-03-30 14:00:00,110,Under,Good
Pair programming,Learning,Refactor existing code,Low,179,251,0.89,2023-04-04 11:00:00,270,Over,Good
Attending conference,Learning,Plan upcoming sprint,Low,223,172,0.99,2023-03-28 10:00:00,210,Under,Good
Attend team meeting,Learning,Plan upcoming sprint,Low,106,133,0.8,2023-03-29 11:00:00,80,Over,Good
Learning new technology,Work,Network with peers,High,130,174,0.73,2023-04-05 18:00:00,110,Over,Fair
Writing technical documentation,Work,Plan upcoming sprint,High,79,52,0.96,2023-03-30 14:00:00,100,Under,Good
Code refactoring,Learning,Discuss project progress,Low,97,106,0.72,2023-04-01 12:00:00,270,Over,Fair
Complete coding challenge,Work,Fix errors in code,Medium,179,248,0.74,2023-03-31 16:00:00,55,Over,Fair
Debugging,Work,Write technical document,Medium,103,60,0.91,2023-04-02 10:00:00,320,Under,Good
Learning new technology,Work,Code collaboratively,Low,122,96,0.91,2023-03-28 14:00:00,250,Under,Good
Learning new technology,Learning,Submit a functioning solution,Low,54,64,0.81,2023-03-30 14:00:00,100,Over,Good
Attend team meeting,Work,Write technical document,Low,130,170,0.64,2023-04-01 12:00:00,110,Over,Fair
Attending training session,Work,Plan upcoming sprint,Low,41,21,0.79,2023-04-01 12:00:00,220,Under,Good
Pair programming,Work,Learn new programming language,High,171,249,0.73,2023-04-05 18:00:00,220,Over,Fair
Debugging,Learning,Network with peers,Low,153,159,0.97,2023-03-29 17:00:00,170,Over,Good
Debugging,Work,Code collaboratively,Low,65,33,0.95,2023-04-05 18:00:00,55,Under,Good
Code refactoring,Learning,Learn new skills,Low,139,115,0.65,2023-04-04 11:00:00,220,Under,Fair
Debugging,Work,Submit a functioning solution,High,224,274,0.89,2023-04-01 12:00:00,190,Over,Good
Code refactoring,Work,Discuss project progress,Medium,187,228,0.62,2023-03-28 14:00:00,100,Over,Fair
Complete coding challenge,Learning,Write technical document,High,200,125,0.9,2023-04-05 18:00:00,210,Under,Good
Attend team meeting,Work,Learn new programming language,Low,132,154,0.96,2023-03-31 16:00:00,170,Over,Good
Learning new technology,Work,Refactor existing code,Low,128,124,0.64,2023-04-01 12:00:00,270,Under,Fair
Complete coding challenge,Work,Discuss project progress,Low,201,182,0.6,2023-04-04 11:00:00,220,Under,Fair
Code refactoring,Work,Write technical document,Medium,227,127,0.77,2023-03-30 14:00:00,320,Under,Good
Learning new technology,Work,Plan upcoming sprint,High,57,36,0.85,2023-03-28 14:00:00,80,Under,Good
Sprint planning,Learning,Refactor existing code,Low,77,60,0.76,2023-04-02 10:00:00,210,Under,Good
Learning new technology,Learning,Review code changes,Low,120,70,0.89,2023-03-28 10:00:00,420,Under,Good
Attend team meeting,Work,Code collaboratively,Low,115,85,1.0,2023-03-30 14:00:00,270,Under,Good
Writing technical documentation,Learning,Refactor existing code,High,64,82,0.89,2023-03-28 10:00:00,220,Over,Good
Writing technical documentation,Learning,Write technical document,Low,108,77,0.97,2023-03-28 10:00:00,320,Under,Good
Writing technical documentation,Work,Network with peers,Medium,160,102,0.73,2023-03-30 15:00:00,350,Under,Fair
Debugging,Work,Refactor existing code,Medium,178,255,0.84,2023-03-29 17:00:00,320,Over,Good
Writing technical documentation,Learning,Code collaboratively,Medium,197,190,0.91,2023-04-04 11:00:00,130,Under,Good
Writing technical documentation,Learning,Discuss project progress,Low,229,242,0.61,2023-04-04 11:00:00,250,Over,Fair
Pair programming,Work,Submit a functioning solution,Medium,47,55,0.69,2023-04-05 18:00:00,130,Over,Fair
Pair programming,Work,Learn new skills,High,122,148,0.95,2023-03-31 16:00:00,190,Over,Good
Code refactoring,Learning,Learn new skills,High,39,50,0.65,2023-03-29 11:00:00,210,Over,Fair
Code refactoring,Work,Learn new programming language,High,167,184,0.81,2023-03-31 16:00:00,250,Over,Good
Attending conference,Learning,Refactor existing code,Low,79,87,0.86,2023-03-28 10:00:00,100,Over,Good
Attending conference,Work,Learn new programming language,Medium,111,132,0.73,2023-04-02 10:00:00,100,Over,Fair
Attending training session,Work,Review code changes,Medium,110,114,0.91,2023-03-28 10:00:00,250,Over,Good
Complete coding challenge,Work,Fix errors in code,Low,136,113,0.81,2023-04-02 10:00:00,55,Under,Good
Learning new technology,Learning,Write technical document,High,226,145,0.62,2023-04-02 10:00:00,110,Under,Fair
Debugging,Work,Learn new skills,High,184,131,0.78,2023-03-30 14:00:00,110,Under,Good
Code refactoring,Learning,Discuss project progress,Medium,230,312,0.63,2023-03-28 10:00:00,350,Over,Fair
Attending conference,Learning,Discuss project progress,Low,221,230,0.6,2023-04-01 12:00:00,320,Over,Fair
Code refactoring,Learning,Code collaboratively,Low,51,41,0.67,2023-03-30 15:00:00,55,Under,Fair
Debugging,Work,Submit a functioning solution,Medium,30,19,0.91,2023-03-28 10:00:00,420,Under,Good
Pair programming,Work,Refactor existing code,High,187,210,0.99,2023-04-04 11:00:00,170,Over,Good
Pair programming,Work,Discuss project progress,Low,228,161,0.71,2023-03-29 11:00:00,420,Under,Fair
Learning new technology,Learning,Code collaboratively,High,181,138,0.92,2023-04-05 18:00:00,170,Under,Good
Debugging,Work,Fix errors in code,Medium,44,24,0.97,2023-04-01 12:00:00,270,Under,Good
Attending training session,Work,Review code changes,Medium,96,86,0.74,2023-03-30 15:00:00,270,Under,Fair
Writing technical documentation,Work,Discuss project progress,Medium,65,58,0.77,2023-03-31 16:00:00,210,Under,Good
Attending conference,Work,Learn new skills,High,226,287,0.74,2023-03-29 17:00:00,190,Over,Fair
Code review,Learning,Network with peers,High,56,29,0.76,2023-03-31 16:00:00,210,Under,Good
Writing technical documentation,Learning,Refactor existing code,Low,134,120,0.89,2023-03-30 14:00:00,250,Under,Good
Debugging,Learning,Network with peers,Low,50,27,0.82,2023-03-29 17:00:00,130,Under,Good
Learning new technology,Learning,Network with peers,High,86,55,0.91,2023-03-29 11:00:00,350,Under,Good
Pair programming,Work,Submit a functioning solution,Low,109,74,0.6,2023-03-30 15:00:00,350,Under,Fair
Attend team meeting,Work,Learn new programming language,Low,237,187,0.95,2023-04-01 12:00:00,170,Under,Good
Attending conference,Work,Refactor existing code,Low,109,141,0.9,2023-04-01 12:00:00,80,Over,Good
Writing technical documentation,Work,Learn new skills,High,186,161,0.65,2023-04-05 18:00:00,80,Under,Fair
Complete coding challenge,Learning,Submit a functioning solution,Medium,133,177,0.81,2023-04-02 10:00:00,170,Over,Good
Writing technical documentation,Learning,Write technical document,Medium,219,187,0.92,2023-04-01 12:00:00,350,Under,Good
Pair programming,Learning,Discuss project progress,Medium,180,189,0.83,2023-03-28 10:00:00,100,Over,Good
Debugging,Work,Refactor existing code,Low,132,173,0.69,2023-04-04 11:00:00,350,Over,Fair
Pair programming,Learning,Write technical document,Medium,54,77,0.77,2023-03-29 17:00:00,320,Over,Good
Writing technical documentation,Learning,Refactor existing code,Medium,73,65,0.73,2023-03-29 17:00:00,130,Under,Fair
Attending training session,Work,Code collaboratively,Low,51,47,0.7,2023-03-30 14:00:00,220,Under,Fair
Sprint planning,Work,Network with peers,Low,88,98,0.77,2023-03-31 16:00:00,100,Over,Good
Debugging,Work,Submit a functioning solution,Low,160,136,0.68,2023-04-05 18:00:00,100,Under,Fair
Attending conference,Work,Code collaboratively,High,58,41,0.79,2023-03-30 14:00:00,250,Under,Good
Code review,Learning,Write technical document,High,57,41,0.79,2023-03-28 14:00:00,55,Under,Good
Attending training session,Work,Discuss project progress,High,43,28,0.82,2023-04-02 10:00:00,130,Under,Good
Complete coding challenge,Learning,Code collaboratively,High,208,192,0.94,2023-04-01 12:00:00,220,Under,Good
Code refactoring,Work,Learn new skills,High,152,121,0.73,2023-03-28 10:00:00,250,Under,Fair
Attend team meeting,Learning,Fix errors in code,Medium,70,74,0.92,2023-04-04 11:00:00,220,Over,Good
Writing technical documentation,Learning,Review code changes,Medium,196,157,0.83,2023-04-05 18:00:00,210,Under,Good
Code review,Work,Learn new skills,High,126,115,0.61,2023-04-04 11:00:00,170,Under,Fair
Code review,Learning,Learn new programming language,High,146,83,0.85,2023-03-30 15:00:00,110,Under,Good
Attending conference,Learning,Discuss project progress,Low,101,130,0.79,2023-04-02 10:00:00,55,Over,Good
Writing technical documentation,Learning,Review code changes,Medium,200,269,0.95,2023-03-29 11:00:00,320,Over,Good
Learning new technology,Work,Fix errors in code,Medium,169,190,0.91,2023-03-29 11:00:00,250,Over,Good
Attend team meeting,Learning,Discuss project progress,Low,172,161,0.74,2023-03-29 17:00:00,80,Under,Fair
Attending conference,Learning,Learn new programming language,Medium,230,340,0.69,2023-04-01 12:00:00,80,Over,Fair
Sprint planning,Work,Learn new programming language,High,178,184,0.61,2023-04-05 18:00:00,220,Over,Fair
Code review,Work,Code collaboratively,High,125,106,0.77,2023-04-04 11:00:00,350,Under,Good
Pair programming,Work,Discuss project progress,High,136,192,0.76,2023-03-30 15:00:00,190,Over,Good
Debugging,Learning,Learn new programming language,Medium,107,122,0.63,2023-04-01 12:00:00,100,Over,Fair
Attend team meeting,Work,Fix errors in code,Medium,205,282,0.95,2023-03-29 11:00:00,420,Over,Good
Attending training session,Learning,Learn new programming language,Low,236,120,0.83,2023-03-30 14:00:00,170,Under,Good
Sprint planning,Work,Network with peers,High,123,126,0.81,2023-03-29 17:00:00,210,Over,Good
Attend team meeting,Learning,Code collaboratively,High,84,82,0.89,2023-03-30 15:00:00,250,Under,Good
Sprint planning,Work,Write technical document,High,192,210,0.61,2023-03-30 15:00:00,220,Over,Fair
Code review,Work,Code collaboratively,High,218,193,1.0,2023-03-29 17:00:00,320,Under,Good
Complete coding challenge,Learning,Write technical document,High,152,105,0.87,2023-03-28 14:00:00,420,Under,Good
Code review,Learning,Code collaboratively,Low,225,174,0.6,2023-04-01 12:00:00,220,Under,Fair
Pair programming,Learning,Network with peers,High,102,78,0.81,2023-04-04 11:00:00,80,Under,Good
Attending training session,Learning,Discuss project progress,Low,146,130,0.72,2023-03-28 10:00:00,420,Under,Fair
Attend team meeting,Work,Plan upcoming sprint,High,185,250,0.95,2023-03-28 10:00:00,55,Over,Good
Complete coding challenge,Learning,Submit a functioning solution,Medium,53,40,0.75,2023-03-31 16:00:00,170,Under,Good
Pair programming,Learning,Discuss project progress,Low,230,310,0.79,2023-03-28 10:00:00,130,Over,Good
Sprint planning,Work,Fix errors in code,Low,127,134,0.89,2023-03-31 16:00:00,420,Over,Good
Writing technical documentation,Work,Review code changes,Low,188,246,0.95,2023-04-04 11:00:00,130,Over,Good
Code refactoring,Work,Refactor existing code,Low,147,155,0.66,2023-04-05 18:00:00,100,Over,Fair
Pair programming,Learning,Fix errors in code,Medium,38,47,0.9,2023-03-31 16:00:00,420,Over,Good
Pair programming,Learning,Refactor existing code,High,158,162,0.97,2023-04-01 12:00:00,130,Over,Good
Learning new technology,Work,Review code changes,High,219,257,1.0,2023-03-28 10:00:00,170,Over,Good
Debugging,Work,Review code changes,Low,64,71,0.6,2023-03-30 14:00:00,170,Over,Fair
Code refactoring,Work,Refactor existing code,Low,147,200,0.95,2023-03-29 17:00:00,210,Over,Good
Pair programming,Learning,Learn new programming language,Low,120,102,0.89,2023-03-30 14:00:00,320,Under,Good
Complete coding challenge,Learning,Code collaboratively,High,57,65,0.94,2023-03-30 15:00:00,110,Over,Good
Attend team meeting,Learning,Refactor existing code,Low,52,49,0.99,2023-04-02 10:00:00,80,Under,Good
Attending conference,Work,Network with peers,Low,51,54,0.81,2023-04-05 18:00:00,350,Over,Good
Sprint planning,Learning,Learn new programming language,High,83,49,0.74,2023-03-29 11:00:00,350,Under,Fair
Attending conference,Learning,Discuss project progress,Medium,125,154,0.75,2023-04-01 12:00:00,130,Over,Good
Attending training session,Work,Code collaboratively,Low,131,97,0.7,2023-04-05 18:00:00,350,Under,Fair
Attend team meeting,Learning,Submit a functioning solution,Low,103,152,0.72,2023-03-30 15:00:00,250,Over,Fair
Sprint planning,Work,Learn new programming language,Low,97,131,0.82,2023-04-01 12:00:00,55,Over,Good
Sprint planning,Learning,Plan upcoming sprint,High,239,246,0.73,2023-03-30 15:00:00,320,Over,Fair
Sprint planning,Learning,Learn new skills,Medium,193,274,0.82,2023-03-29 17:00:00,80,Over,Good
Code review,Work,Review code changes,Low,162,113,0.81,2023-03-30 15:00:00,80,Under,Good
Sprint planning,Learning,Refactor existing code,Low,39,42,0.85,2023-03-30 14:00:00,110,Over,Good
Attend team meeting,Learning,Network with peers,Medium,224,138,0.88,2023-03-31 16:00:00,270,Under,Good
Debugging,Learning,Fix errors in code,Medium,195,248,0.95,2023-03-29 11:00:00,170,Over,Good
Attending conference,Work,Submit a functioning solution,High,86,93,0.75,2023-03-28 10:00:00,250,Over,Good
Attending training session,Learning,Plan upcoming sprint,Medium,35,45,0.7,2023-03-31 16:00:00,170,Over,Fair
Writing technical documentation,Learning,Plan upcoming sprint,Low,138,129,0.92,2023-03-30 14:00:00,130,Under,Good
Pair programming,Work,Write technical document,Medium,144,121,0.7,2023-04-04 11:00:00,210,Under,Fair
Complete coding challenge,Work,Learn new skills,High,144,127,0.96,2023-03-31 16:00:00,80,Under,Good
Code refactoring,Learning,Write technical document,Medium,108,124,0.78,2023-03-28 14:00:00,220,Over,Good
Code refactoring,Learning,Write technical document,Medium,146,215,0.91,2023-03-30 14:00:00,420,Over,Good
Learning new technology,Learning,Review code changes,Medium,151,136,0.71,2023-04-01 12:00:00,170,Under,Fair
Code refactoring,Work,Refactor existing code,Medium,69,81,0.73,2023-04-05 18:00:00,220,Over,Fair
Attending conference,Work,Discuss project progress,Low,184,162,0.87,2023-03-28 10:00:00,170,Under,Good
Attending conference,Learning,Network with peers,Low,89,66,0.96,2023-03-31 16:00:00,110,Under,Good
Attending training session,Learning,Refactor existing code,High,214,143,0.87,2023-03-30 14:00:00,130,Under,Good
Attending training session,Learning,Submit a functioning solution,Low,176,141,0.91,2023-03-30 15:00:00,220,Under,Good
Attending conference,Work,Review code changes,High,221,129,0.88,2023-04-05 18:00:00,110,Under,Good
Writing technical documentation,Work,Write technical document,High,105,157,0.93,2023-03-28 14:00:00,210,Over,Good
Writing technical documentation,Learning,Plan upcoming sprint,Low,148,104,0.64,2023-03-31 16:00:00,130,Under,Fair
Pair programming,Work,Learn new programming language,Low,64,36,0.8,2023-04-02 10:00:00,320,Under,Good
Attending training session,Learning,Submit a functioning solution,Medium,231,137,0.88,2023-03-28 10:00:00,110,Under,Good
Learning new technology,Work,Discuss project progress,Low,128,67,0.71,2023-03-29 11:00:00,270,Under,Fair
Debugging,Work,Network with peers,Medium,150,202,0.63,2023-04-02 10:00:00,170,Over,Fair
Code refactoring,Learning,Submit a functioning solution,Medium,77,79,0.78,2023-03-28 10:00:00,210,Over,Good
Code review,Learning,Submit a functioning solution,Medium,159,146,0.83,2023-03-30 14:00:00,80,Under,Good
Sprint planning,Work,Review code changes,Medium,93,67,0.75,2023-04-05 18:00:00,80,Under,Good
Sprint planning,Learning,Learn new skills,Low,66,94,0.81,2023-04-04 11:00:00,270,Over,Good
Attending training session,Work,Fix errors in code,Medium,32,19,0.84,2023-03-28 14:00:00,190,Under,Good
Learning new technology,Learning,Write technical document,Low,186,208,0.75,2023-04-01 12:00:00,210,Over,Good
Code refactoring,Learning,Learn new skills,Low,76,111,0.66,2023-03-29 11:00:00,250,Over,Fair
Learning new technology,Learning,Write technical document,Low,102,112,0.81,2023-03-31 16:00:00,270,Over,Good
Code refactoring,Learning,Code collaboratively,Medium,70,91,0.93,2023-03-30 15:00:00,320,Over,Good
